カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
テクノロジー,株式会社AIdeaLab,"日本初*の日本語動画生成AI基盤モデル「AIdeaLab
                                                                VideoJP」を商用利用可能で無償公開","日本初の商用利用可能な日本語動画生成AI基盤モデル「AIdeaLab
                                                                VideoJP」を無償公開。日本語と英語の文章入力が可能で、透明性の高い著作権に配慮した動画生成を実現。今後も高品質な動画生成モデルの開発を目指す。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000013.000084222.html),茨 茨木雄太
テクノロジー,株式会社SHIFT,"生成AIの業務活用基盤をつくり、RAGの精度を向上する「生成AIオペレーション品質向上サービス
                                                                ...",株式会社SHIFTが生成AIの業務活用を支援する「生成AIオペレーション品質向上サービス」の提供を開始し、RAGの精度向上を図る。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000082.000018724.html),茨 茨木雄太
テクノロジー,株式会社ナレッジセンス,"RAGで、Wordファイル上の画像・グラフも学習可能に。法人向け生成AI「ChatSense」が
                                                                ...",株式会社ナレッジセンスが、法人向け生成AI「ChatSense」をアップデートし、Wordファイル内の画像やグラフも学習可能になったことを発表。これにより、業務マニュアルや財務関連書類などの精度高いAI応答が可能になる。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000161.000073671.html),茨 茨木雄太
その他,認定NPO法人フローレンス,"傾聴型生成AI×専門職スタッフの孤独・孤立相談「つながりよりそいチャット」がDigi 田（デジでん
                                                                ...",傾聴型生成AIを活用した孤独・孤立相談サービス「つながりよりそいチャット」がDigi田甲子園に出場し、地域課題の解決に向けた取り組みを行っている。,既存事業の価値向上 業務プロセス改善,yamagata.keizai.biz/rel…68312/ (https://yamagata.keizai.biz/release/368312/),茨 茨木雄太
テクノロジー,クラスメソッド株式会社,"【2/20（木）】生成AI活用を事例で学ぶオンラインカンファレンス「Classmethod Showcase
                                                                進化 ...",クラスメソッド株式会社が、生成AIをビジネス導入して成果をあげている事業会社からの事例を紹介するオンラインカンファレンスを開催する。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000396.000014901.html),茨 茨木雄太
テクノロジー,MakinaRocks株式会社,【生成AI導入を検討中の企業様必見！】産業用AIのMakinaRocksがPoCモニターを募集,MakinaRocksは、生成AIを用いたPoCモニターを募集し、企業のAIトランスフォーメーションを支援する。,業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000007.000066306.html),茨 茨木雄太
テクノロジー,株式会社電通デジタル,"電通デジタル、企業のSNSの投稿運用を独自AIにより高度化する「∞AI Social」を開発 - PR
                                                                TIMES","電通デジタルが企業のSNS投稿運用をAIで支援する「∞AI
                                                                Social」を開発し、運用開始した。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000120.000121065.html),茨 茨木雄太
テクノロジー,株式会社エーアイセキュリティラボ,"クラウド型Webアプリケーション診断ツール「AeyeScan」が市場シェア1位を獲得 - PR
                                                                TIMES",クラウド型Webアプリケーション脆弱性診断ツール『AeyeScan』が市場シェア1位を獲得し、生成AIを活用して診断の自動化を実現した。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…7.html (https://prtimes.jp/main/html/rd/p/000000055.000051317.html),茨 茨木雄太
医療・介護・製薬,メナリーニ・グループ,"AIによって特定された、がん治療におけるアンメット・ニーズを対象とした前臨床段階の創薬資産
                                                                ...","メナリーニ・グループがインシリコ・メディシンから、がん治療に関する前臨床段階の創薬資産に関する独占契約を締結した。契約には2,000万ドルの契約一時金が含まれ、総額は5億5,000万ドル以上となる。",新規事業の創出,jp.prnasia.com/sto….shtml (https://jp.prnasia.com/story/124139-3.shtml),K kosuke takaki
テクノロジー,株式会社THA,"福岡のオフィスビルがAIに進化！？スタービルが提供する新サービス『AIスタービル』で新時代の
                                                                ...",株式会社THAが福岡のスタービルと共同開発した新しいAIサービス『AIスタービル』を発表。AIを活用し、業務効率化やおもてなしの向上を目指す。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000012.000139335.html),茨 茨木雄太
テクノロジー,株式会社Uravation,"Uravation、株式会社TENHOと共同で青山学院大学にて特別講演を開催 - PR
                                                                TIMES",株式会社Uravationが株式会社TENHOと共同で青山学院大学にて特別講演を開催し、生成AIのビジネス活用や学生起業の可能性について議論した。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000003.000137731.html),茨 茨木雄太
公共・行政 公共・自治体,デジタル庁,平デジタル大臣が2025年1月9日にAIアイデアソン及び愛媛県宇和島市の視察を行いました,平デジタル大臣が愛媛県宇和島市でAIアイデアソンを開催し、自治体業務における生成AIの活用案を議論した。,その他 業務プロセス改善,digital.go.jp/new…1215e0 (https://www.digital.go.jp/news/064fcda3-2d88-4b23-95f5-a9b8351215e0),S saeki kazuhiro
製造,NEC株式会社,NEC、ビジネス向けデスクトップPC「Mate」のラインアップを一新、AI活用の促進や基本性能,NECはビジネス向けデスクトップPC「Mate」の新商品で、AI活用を促進する「Copilotキー」を搭載し、業務効率化や生産性向上を支援することを発表した。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000799.000078149.html),S saeki kazuhiro
テクノロジー,株式会社プリマジェスト,プリマジェスト、OCRと生成AIで画像データ化を革新する「Pinput（ピンプット）」をリリース,株式会社プリマジェストが新たにリリースしたサービス「Pinput」は、OCRと生成AI技術を活用して書類のデータ化プロセスを効率化し、業務効率化とコスト削減を実現する。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000056.000061696.html),茨 茨木雄太
テクノロジー,株式会社シャノン,"シャノンの生成AIを使ってペルソナ、課題の深堀り、製品コピーを作成する方法とは - PR
                                                                TIMES",シャノンの生成AIを活用したペルソナ作成や課題の深堀り、製品コピーの作成方法についてのウェビナーを開催する。,業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000457.000002984.html),茨 茨木雄太
教育,株式会社ネットラーニング,生成AIで未来を切り拓く！ 新時代の「生成AI人材育成プログラム」開始 - PR TIMES,株式会社ネットラーニングは、生成AIを活用した人材育成プログラムを開始し、企業での業務効率化やデジタル文化の定着を促進する研修を提供することを発表した。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…7.html (https://prtimes.jp/main/html/rd/p/000000078.000006897.html),茨 茨木雄太
テクノロジー,株式会社ナレッジセンス,法人が画像生成AIを利用するリスクを下げる機能をリリース。法人向け生成AI「ChatSense」,株式会社ナレッジセンスは、法人向け生成AIサービス「ChatSense」の画像生成AI機能をアップデートし、生成された画像に透かしを自動的に付与する機能を公開しました。この機能により、法人での生成AI利用のリスクを低減することが可能になります。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…1.html (https://prtimes.jp/main/html/rd/p/000000160.000073671.html),茨 茨木雄太
製造,"パナソニック
                                                                    コネクト株式会社","モバイルパソコン「レッツノート」個人店頭向け2025年春モデルを発売 ～AI PCと2種類の
                                                                ...","パナソニック コネクトが、AI
                                                                PC「FV5」シリーズを個人店頭向けに発売し、業務の効率化を図る取り組みを発表。",業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000006077.000003442.html),S saeki kazuhiro
テクノロジー,株式会社Sprocket,"Sprocket、生成AIで特定セグメントの顧客像と会話ができる「ペルソナトーク
                                                                2.0」のβ版を提供開始","株式会社Sprocketは生成AIを活用した新機能「ペルソナトーク
                                                                2.0」を提供開始し、特定セグメントの顧客像と対話することでマーケティング施策の企画立案を支援します。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000171.000032195.html),茨 茨木雄太
テクノロジー,株式会社日立ソリューションズ・クリエイト,生成AIの本格的な業務活用を支援するソリューションを提供開始 - PR TIMES,"株式会社日立ソリューションズ・クリエイトが生成AIを業務活用するための「AIプラス
                                                                生成AIソリューション」を提供開始。教育からシステム開発まで一貫した支援を行い、顧客の生成AI導入を支援する。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000037.000060440.html),茨 茨木雄太
教育,株式会社SAMURAI,"学びが仕事に直結！SAMURAI
                                                                YOSHINAがMicrosoftツールやCopilot対応教材を大幅強化","株式会社SAMURAIは、ユースフル株式会社との提携を通じて、学習管理システムSAMURAI
                                                                YOSHINAの提供サービスを拡充し、約800種類のMicrosoftツールやCopilot、生成AIの教材を追加した。",個人の生産性向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000182.000047683.html),茨 茨木雄太
テクノロジー,株式会社アピリッツ,アピリッツ、生成AI×Webを活用した業務効率化のサポート実績を公開 - PR TIMES,アピリッツが生成AIを活用した業務効率化のサポート事例を公開し、具体的な取り組みを紹介している。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000272.000072985.html),茨 茨木雄太
テクノロジー,株式会社ソフトクリエイト,"企業・団体向け生成AI「Safe AI Gateway」が「AIsmiley AI PRODUCTS
                                                                AWARD 2025 WINTER ...","株式会社ソフトクリエイトが提供する生成AIサービス「Safe AI
                                                                Gateway」が、AIポータルメディア「AIsmiley」主催の「AIsmiley AI PRODUCTS
                                                                AWARD 2025 WINTER」で受賞したことを発表。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000034.000012489.html),茨 茨木雄太
テクノロジー,GMOインターネットグループ株式会社,"GMOインターネットグループ、生成AI業務活用率が88.6%に！自社提供の生成AI検索「天秤AI
                                                                ...",GMOインターネットグループは生成AIの業務活用率が88.6%に達し、2024年の業務削減時間は推定151万時間を超えたことを報告。生成AIによる新たな価値創造に取り組んでいる。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000004688.000000136.html),茨 茨木雄太
建設・不動産,三協立山株式会社,"議事録作成時間を 75% 削減する生成 AI アシスタントを１か月でリリース | Amazon Web
                                                                Services",三協立山株式会社がAWSの生成AIを活用し、議事録作成時間を75%削減するAIアシスタント「AIふたば」を1か月でリリースした事例を紹介。,既存事業の価値向上 業務プロセス改善,aws.amazon.com/jp/…eyama/ (https://aws.amazon.com/jp/blogs/news/genai-case-study-sankyo-tateyama/),茨 茨木雄太
テクノロジー,株式会社ヘッドウォータース,"ヘッドウォータース、日本マイクロソフトと共催する「生成AIによるビジネス最適化 - PR
                                                                TIMES",株式会社ヘッドウォータースと日本マイクロソフトが共催する生成AIによるビジネス最適化ワークショップを開催。参加企業は生成AIの導入に向けたハンズオンイベントに参加し、具体的な活用アイデアを考える。,業務プロセス改善,prtimes.jp/mai…5.html (https://prtimes.jp/main/html/rd/p/000000208.000018045.html),茨 茨木雄太
コンサル・士業,アビームコンサルティング株式会社,"ユーザー特性に基づくMicrosoft 365 Copilot利活用促進支援 | 事例 -
                                                                アビームコンサルティング","アビームコンサルティングはDNPグループのためにMicrosoft 365
                                                                Copilotの利用促進を支援し、ユーザー特性分析を行い、定着化に向けた施策提案を実施。",業務プロセス改善,abeam.com/jp/…cs405/ (https://www.abeam.com/jp/ja/case_study/scs405/),K kosuke takaki
その他,一般社団法人生成AI活用普及協会,GUGA、生成AI人材を採用する意志を表明する共同プロジェクト「生成AI人材採用宣言 ...,生成AI人材を採用する意志を表明する共同プロジェクト「生成AI人材採用宣言プロジェクト2025」の賛同企業・団体を募集する取り組みを発表した。,業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000053.000121559.html),茨 茨木雄太
教育,株式会社安堂プランニング,"幼稚園教師向け「生成AI活用業務効率化研修」を1/7に受付開始！提供開始は4月予定 書類作成
                                                                ...",幼稚園教諭向けの生成AI活用業務効率化研修を提供し、文書作成時間を最大80％削減することを目指す。,個人の生産性向上 業務プロセス改善,atpress.ne.jp/news/421437 (https://www.atpress.ne.jp/news/421437),茨 茨木雄太
テクノロジー,TechSuite株式会社,"生成AIを活用したSEO記事制作代行サービス「バクヤスAI 記事代行」の電車広告が - PR
                                                                TIMES","生成AIを活用したSEO記事制作代行サービス「バクヤスAI
                                                                記事代行」の電車広告が、都営三田線で開始される。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000032.000118298.html),茨 茨木雄太
テクノロジー,株式会社PeopleX,"PeopleX、人事評価・マネジメント・採用面接に関するAIエージェントを開発 - PR
                                                                TIMES",株式会社PeopleXは、生成AIを活用した人事評価やマネジメント業務の高度自動化を実現するAIエージェントを開発し、実証実験を完了しました。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000063.000139786.html),茨 茨木雄太
サービス業,株式会社Haul,"採用イネーブルメントソリューションを提供するHaul、累計導入社数が100社を突破 - PR
                                                                TIMES","採用イネーブルメントソリューションを提供する株式会社Haulは、サービスの累計導入社数が100社を突破したことを発表。生成AI
                                                                x SaaSによる採用ソリューションを提供し、導入企業で確かな成果を上げている。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000010.000128733.html),茨 茨木雄太
テクノロジー,sanzaka株式会社,"生成AIを活用した店舗分析レポート作成サービスを提供開始 |
                                                                sanzaka株式会社のプレスリリース",sanzaka株式会社がGoogleマップの口コミを基に店舗のレポートを生成AIで作成するサービス「パンプキン」を2025年1月1日より提供開始。飲食店などの経営者やコンサルタント向けに、口コミ分析の時間と手間を減らすことを目的としている。,業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000003.000084292.html),茨 茨木雄太
テクノロジー,SherLOCK株式会社,"AIセキュリティスタートアップSherLOCK株式会社 2025年 年頭のご挨拶 - PR
                                                                TIMES",AIセキュリティスタートアップSherLOCK株式会社が2025年の展望を述べ、AIセキュリティの重要性や取り組みを強調した年頭のご挨拶。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000012.000145146.html),茨 茨木雄太
テクノロジー,ピクセルカンパニーズ株式会社,年頭所感2025「加速するAI時代に向けて、日本のイノベーションを支えるインフラを。」,ピクセルカンパニーズ株式会社がAI時代に向けての取り組みやデータセンター事業についての年頭所感を発表。特にGPUリソースを活用したイノベーションの重要性を強調し、日本のデジタルトランスフォーメーションへの貢献を目指す。,業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000044.000067489.html),茨 茨木雄太
テクノロジー,日本マネジメント総合研究所合同会社,"「生成AI年賀状」でAIアバター「AI-Tommy」が2025年のAI動画年賀状をお届け - PR
                                                                TIMES",日本マネジメント総合研究所合同会社が、生成AIを活用した新しい年賀状の提供を発表。紙の年賀状を廃止し、AIアバターを使用した動画形式での年始挨拶を行うことにより、サステイナブルな取り組みを推進。,業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000561.000025058.html),茨 茨木雄太
教育,スタディポケット株式会社,"学校向け生成AIサービス「スタディポケット」、文部科学省『初等中等教育段階 ... - PR
                                                                TIMES",学校向け生成AIサービス「スタディポケット」が文部科学省のガイドラインに基づくチャット機能を公開。教育現場での生成AIの活用を支援。,業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000050.000049664.html),茨 茨木雄太
テクノロジー,"株式会社Meta
                                                                    Heroes","生成AIの未来を語る2大イベント、Hero Eggで同日開催！～実施レポート - PR
                                                                TIMES","株式会社Meta Heroesが運営するHero
                                                                Eggで、生成AIに焦点を当てた2つのイベントを開催し、参加者が生成AIの活用法について学ぶ機会を提供した。",個人の生産性向上 業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000062.000094539.html),茨 茨木雄太
コンサル・士業,株式会社キャリアサバイバル,"【過去データ学習し文書を自動作成】自社専用のAIツールを低価格・短期間でカスタマイズ開発
                                                                ...",自社専用のAIツールを低価格・短期間でカスタマイズ開発するサービスにAI資料作成機能を追加し、業務効率化を推進。,業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000016.000129499.html),K kosuke takaki
テクノロジー,株式会社グロップ,"グロップ、「現場のため」の生成AI支援サービス GENBA AIの提供を開始 - PR
                                                                TIMES","株式会社グロップが、現場の業務効率を向上させるための生成AI支援サービス「GENBA
                                                                AI」を提供開始。様々な業界に対応したカスタマイズ可能な研修やコンサルティングを行う。",個人の生産性向上 業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000031.000141948.html),茨 茨木雄太
テクノロジー,株式会社アマナ,"2025年1月22日（水）ウェビナー開催のお知らせ「生成AIが広げるビジュアルコミュニケーション
                                                                ...",株式会社アマナが生成AIをテーマにしたオンラインウェビナーを開催し、画像生成AIの活用法や成果について解説する。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000364.000040283.html),茨 茨木雄太
テクノロジー,株式会社OpenFashion,"2024年でユーザー数が約2倍に！生成AI市場で圧倒的な成長を記録。生成AI導入支援ツール
                                                                ...",株式会社OpenFashionが提供する生成AI導入支援サービス「MaisonAI」は、ファッション業界を中心に新たな価値を生み出し、2024年でユーザー数が倍増した。業務効率化や新規事業創出に活用されている。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000158.000012284.html),茨 茨木雄太
テクノロジー,コミューン株式会社,"コミューン、AI活用でコミュニティ運営の効率・品質向上を実現する「Community Copilot
                                                                ...","コミューン株式会社は、AIを活用してコミュニティ運営の効率と品質向上を実現する新機能「Community
                                                                Copilot」と「Community Data
                                                                Lab」を公開しました。これにより、コミュニティマネージャーの負担を軽減し、エンゲージメントを高めることを目的としています。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000297.000036356.html),茨 茨木雄太
テクノロジー,エムシーデジタル株式会社,"OpenAIの最新モデル「o1シリーズ」を法人向け生成AIサービス「Tachyon
                                                                生成AI」に搭載","エムシーデジタル株式会社が法人向け生成AIサービス「Tachyon
                                                                生成AI」にOpenAIの最新モデル「o1シリーズ」を搭載し、高度な専門知識を必要とするタスクへの対応を強化した。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000021.000135312.html),茨 茨木雄太
テクノロジー,"株式会社SHIFT
                                                                    AI","SHIFT AI
                                                                が『2024年AIトレンドランキング』を発表！本年もChatGPTが話題を席巻した1年に","株式会社SHIFT
                                                                AIが生成AIに関する2024年AIトレンドランキングを発表し、ChatGPTやGeminiなどの人気が紹介された。",個人の生産性向上 既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000092.000116644.html),茨 茨木雄太
テクノロジー,カラクリ株式会社,"カラクリ、日本語に特化した生成AIガードレール「KARAKURI
                                                                Guardrails」β版の提供開始","カラクリ株式会社が日本語に特化した生成AIガードレール「KARAKURI
                                                                Guardrails」のβ版を提供開始し、安全に生成AIを利用できる環境を提供することを目指す。",業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000105.000025663.html),茨 茨木雄太
テクノロジー,JTP株式会社,"「Third AI 生成AIソリューション」、最新の生成AIモデルOpenAI o1に対応完了 - PR
                                                                TIMES","JTP株式会社は、生成AIソリューション「Third AI」の最新モデルOpenAI
                                                                o1への対応完了を発表した。これにより、ビジネス用途での生成AI活用がより実用的かつ効果的に行えるようになる。",業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000029.000082223.html),茨 茨木雄太
,株式会社リンクアンドモチベーション,コンサル・クラウド事業において生成AIの活用を本格化 ｜ ニュースリリース,株式会社リンクアンドモチベーションは、生成AIの活用を中心としたDX推進を加速させ、コンサルティング専門部隊における従業員一人当たりの売上が前年比約140%に達したことを発表しました。,既存事業の価値向上 業務プロセス改善,lmi.ne.jp/new…id=924 (https://www.lmi.ne.jp/news/release/detail.php?id=924),茨 茨木雄太
建設・不動産,株式会社長谷工コーポレーション,長谷工グループ DXアカデミー特別編グループ全社員対象の生成AIリスキリングプログラムを実施,長谷工グループが全社員を対象に生成AIリスキリングプログラムを実施し、業務改善を目指す取り組みを行った。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000021.000128890.html),S saeki kazuhiro
テクノロジー,アーカス・ジャパン株式会社,"Dynamics 365 Sales による Microsoft Copilot
                                                                導入で、議事録の精度向上とセキュリティ強化を実現","アーカス・ジャパン株式会社が、Dynamics 365 SalesによるMicrosoft
                                                                Copilotの導入事例を紹介し、議事録の精度向上とセキュリティ強化を実現した。",業務プロセス改善,prtimes.jp/mai…7.html (https://prtimes.jp/main/html/rd/p/000000112.000018177.html),茨 茨木雄太
テクノロジー,株式会社PeopleX,"PeopleX、生成AI・LLMを用いた人事業務に関連する非構造データの構造化技術「Lincoln 1」を
                                                                ...","株式会社PeopleXは、生成AI・LLMを用いた非構造データの構造化技術「Lincoln
                                                                1」を開発し、エンプロイーサクセスHRプラットフォーム「PeopleWork」に実装した。これにより、履歴書や職務経歴書からスキルを自動判定する機能を追加した。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…6.html (https://prtimes.jp/main/html/rd/p/000000060.000139786.html),茨 茨木雄太
テクノロジー,エムシーデジタル株式会社,"国産大規模言語モデル「PLaMo Prime」を法人向け生成AIサービス「Tachyon
                                                                生成AI」に搭載","エムシーデジタル株式会社が法人向け生成AIサービス「Tachyon
                                                                生成AI」に国産大規模言語モデル「PLaMo Prime」を搭載し、業務効率化を図る。",業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000020.000135312.html),茨 茨木雄太
テクノロジー,株式会社ギブリー,"ギブリー、次世代型の生成AI活用プラットフォーム「MANA Studio」をリリース - PR
                                                                TIMES","株式会社ギブリーが次世代型生成AI活用プラットフォーム「MANA
                                                                Studio」をリリースし、業務プロセスの自動最適化を目指す。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000321.000002454.html),茨 茨木雄太
テクノロジー,株式会社リモラボ,"フリーランスの生成AI活用実態調査2024 | 株式会社リモラボのプレスリリース - PR
                                                                TIMES",フリーランスの生成AI活用実態調査を実施し、生成AIの活用度や課題を明らかにした。一般フリーランスの85.8%が生成AIを活用できていないという結果が出た。,個人の生産性向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000039.000112764.html),茨 茨木雄太
テクノロジー,"株式会社ADWAYS
                                                                    DEEE","生成AIサービス経由の流入データを分析、可視化する新機能を、アフィリエイト ... - PR
                                                                TIMES",アフィリエイトサービス「JANet」において、生成AIサービス経由の流入データを分析、可視化する新機能をリリース。,業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000203.000033008.html),茨 茨木雄太
テクノロジー,FYRA株式会社,5Gデータと生成AIでモバイル通信の低遅延に挑む – FYRA株式会社 - PR TIMES,FYRA株式会社は、5Gデータと生成AIを活用してモバイル通信の低遅延を実現するソリューションを開発し、資金調達を完了した。,新規事業の創出 業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000001.000151358.html),茨 茨木雄太
テクノロジー,"株式会社SHIFT
                                                                    AI","法人向け生成AIリスキリングサービス SHIFT AI for Biz
                                                                24年12月20日【生成AIパスポート試験対策 ...","株式会社SHIFT AIは、法人向けの生成AIリスキリングサービス「SHIFT AI for
                                                                Biz」を提供し、生成AIパスポート試験に対応した対策講座を開始することを発表した。",個人の生産性向上 業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000091.000116644.html),茨 茨木雄太
コンサル・士業,アビームコンサルティング株式会社,"「生成AIが切り拓くビジネス革命 ～驚きの成果を生む4つの成功 ... -
                                                                アビームコンサルティング",生成AIを活用したビジネス革命における成功ポイントについて解説し、企業が生成AIを導入する際に留意すべき事項を示す。,既存事業の価値向上 業務プロセス改善,abeam.com/jp/…s/028/ (https://www.abeam.com/jp/ja/insights/028/),K kosuke takaki
交通・物流,名古屋鉄道株式会社,"「生成AI大賞2024」にて名古屋鉄道の取り組みが最高位グランプリを受賞しました - PR
                                                                TIMES",名古屋鉄道が生成AIプロジェクトで「生成AI大賞2024」のグランプリを受賞し、地域の人々やお客様に価値を提供する取り組みを強化する意向を示した。,業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000000286.000089084.html),S saeki kazuhiro
コンサル・士業,KPMGジャパン株式会社,生成AIの自己学習とエネルギー問題 - KPMGジャパン,生成AIの自己学習とその環境への影響、持続可能な発展のための技術アプローチについて説明している。,既存事業の価値向上 業務プロセス改善,kpmg.com/jp/…h.html (https://kpmg.com/jp/ja/home/insights/2024/12/ai-energy-alh.html),K kosuke takaki
テクノロジー,株式会社SUPERNOVA,"Webブラウザを使いながらワンクリックで生成AIが利用できる新機能「Stella AI for
                                                                Chrome」のβ版 ...","株式会社SUPERNOVAが「Stella AI for
                                                                Chrome」という新機能を提供し、Webブラウザ上でワンクリックで生成AIを利用できるようにする。",業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000014.000138218.html),茨 茨木雄太
医療・介護・製薬,Ubie株式会社,"生成AI大賞2024」で特別賞と優秀賞をW受賞 | Ubie株式会社のプレスリリース - PR
                                                                TIMES",Ubie株式会社が「生成AI大賞2024」で特別賞と優秀賞を受賞。医療機関向けの生成AIソリューションを活用し、業務効率を向上させた成果を報告。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000117.000048083.html),K kosuke takaki
テクノロジー,カラクリ株式会社,"カラクリ、東京海上日動と生成AIを活用した照会応答領域高度化の実証実験を開始 - PR
                                                                TIMES",カラクリ株式会社は東京海上日動火災保険株式会社と協力し、生成AIを活用した照会応答業務の高度化に向けた実証実験を開始した。これにより顧客対応の迅速化と業務効率化を目指す。,業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000104.000025663.html),茨 茨木雄太
医療・介護・製薬,NEC株式会社,これからの地域医療に生成AIの活用を ステークホルダーが一丸となって取り組む解決策とは？,地域医療における人手不足問題を解決するために、生成AIを活用した共創ワークショップが開催され、医療機関とITベンダーが協力して地域医療のソリューションを検討。,新規事業の創出 業務プロセス改善,wisdom.nec.com/ja/…x.html (https://wisdom.nec.com/ja/feature/healthcare/2024121901/index.html),K kosuke takaki
テクノロジー,株式会社ビジー・ビー,"ビジー・ビーの「生成AIツール for Excel」が主要3社20モデルに対応 - PR
                                                                TIMES","株式会社ビジー・ビーが独自開発したExcel用アドイン『生成AIツール for
                                                                Excel』を2024年12月版としてリリースし、主要3社の20モデルに対応することを発表した。",業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000315.000032743.html),茨 茨木雄太
